fips,NAME,total_population,white_alone,non_white,pct_non_white
21239,"Woodford County, Kentucky",26886,24095,2791,10.380867365915346
47001,"Anderson County, Tennessee",77337,68460,8877,11.478335078940223
47003,"Bedford County, Tennessee",50533,41327,9206,18.21779827043714
47005,"Benton County, Tennessee",15933,14836,1097,6.885081277851
47007,"Bledsoe County, Tennessee",14816,13226,1590,10.731641468682506
47009,"Blount County, Tennessee",135951,124296,11655,8.57294172164971
47011,"Bradley County, Tennessee",108859,94075,14784,13.58087066756079
47013,"Campbell County, Tennessee",39397,37935,1462,3.710942457547529
47015,"Cannon County, Tennessee",14481,13670,811,5.600441958428285
47017,"Carroll County, Tennessee",28381,24378,4003,14.104506536062859
47019,"Carter County, Tennessee",56315,53105,3210,5.700079907662257
47021,"Cheatham County, Tennessee",41184,37902,3282,7.9691142191142195
47023,"Chester County, Tennessee",17392,14988,2404,13.822447102115914
47025,"Claiborne County, Tennessee",32092,30497,1595,4.970086002742116
47027,"Clay County, Tennessee",7592,7154,438,5.769230769230769
47029,"Cocke County, Tennessee",36186,34045,2141,5.9166528491681865
47031,"Coffee County, Tennessee",58080,51466,6614,11.387741046831955
47033,"Crockett County, Tennessee",13955,10419,3536,25.33858831959871
47035,"Cumberland County, Tennessee",61552,58492,3060,4.9714062906160645
47037,"Davidson County, Tennessee",709786,423888,285898,40.27946451465653
47039,"Decatur County, Tennessee",11483,10560,923,8.03796917181921
47041,"DeKalb County, Tennessee",20209,18366,1843,9.119699143945766
47043,"Dickson County, Tennessee",54563,49230,5333,9.774022689368254
47045,"Dyer County, Tennessee",36818,29118,7700,20.913683524363083
47047,"Fayette County, Tennessee",42228,28419,13809,32.70105143506678
47049,"Fentress County, Tennessee",18642,17874,768,4.119729642742195
47051,"Franklin County, Tennessee",42980,38296,4684,10.898092135877151
47053,"Gibson County, Tennessee",50455,38755,11700,23.188980279456942
47055,"Giles County, Tennessee",30317,25589,4728,15.595210607909754
47057,"Grainger County, Tennessee",23648,22665,983,4.156799729364005
47059,"Greene County, Tennessee",70399,65527,4872,6.920552848762056
47061,"Grundy County, Tennessee",13550,12920,630,4.649446494464945
47063,"Hamblen County, Tennessee",64531,55250,9281,14.382234894856735
47065,"Hamilton County, Tennessee",367193,266269,100924,27.48527341207485
47067,"Hancock County, Tennessee",6726,6507,219,3.2560214094558426
47069,"Hardeman County, Tennessee",25519,13918,11601,45.460245307418
47071,"Hardin County, Tennessee",26824,25027,1797,6.699224575007456
47073,"Hawkins County, Tennessee",57107,54099,3008,5.267305234034357
47075,"Haywood County, Tennessee",17806,7883,9923,55.72840615522857
47077,"Henderson County, Tennessee",27845,24584,3261,11.711258753815766
47079,"Henry County, Tennessee",32305,28304,4001,12.38507970902337
47081,"Hickman County, Tennessee",24996,22741,2255,9.02144343094895
47083,"Houston County, Tennessee",8253,7728,525,6.361323155216285
47085,"Humphreys County, Tennessee",19032,17358,1674,8.795712484237074
47087,"Jackson County, Tennessee",11730,10982,748,6.3768115942028984
47089,"Jefferson County, Tennessee",55017,51100,3917,7.119617572750241
47091,"Johnson County, Tennessee",17982,16459,1523,8.469580691802914
47093,"Knox County, Tennessee",481406,399172,82234,17.08204717016406
47095,"Lake County, Tennessee",6898,4561,2337,33.87938532908089
47097,"Lauderdale County, Tennessee",25171,15132,10039,39.88319891939136
47099,"Lawrence County, Tennessee",44377,41505,2872,6.471820988349821
47101,"Lewis County, Tennessee",12637,11816,821,6.496795125425338
47103,"Lincoln County, Tennessee",35365,30655,4710,13.318252509543335
47105,"Loudon County, Tennessee",55507,49891,5616,10.117642819824527
47107,"McMinn County, Tennessee",53532,48210,5322,9.941717103788388
47109,"McNairy County, Tennessee",25895,23515,2380,9.19096350646843
47111,"Macon County, Tennessee",25365,23262,2103,8.290952099349497
47113,"Madison County, Tennessee",98644,55026,43618,44.21759052755363
47115,"Marion County, Tennessee",28852,26560,2292,7.9439900180230145
47117,"Marshall County, Tennessee",34567,30960,3607,10.434807764631007
47119,"Maury County, Tennessee",102002,82838,19164,18.7878669045705
47121,"Meigs County, Tennessee",12839,11708,1131,8.80909728171976
47123,"Monroe County, Tennessee",46489,41740,4749,10.215319753059864
47125,"Montgomery County, Tennessee",222305,145652,76653,34.481005825330065
47127,"Moore County, Tennessee",6558,6065,493,7.517535834095761
47129,"Morgan County, Tennessee",21124,19222,1902,9.003976519598561
47131,"Obion County, Tennessee",30670,25083,5587,18.21649820671666
47133,"Overton County, Tennessee",22576,21731,845,3.742912827781715
47135,"Perry County, Tennessee",8432,7700,732,8.681214421252372
47137,"Pickett County, Tennessee",5042,4832,210,4.165013883379611
47139,"Polk County, Tennessee",17620,16164,1456,8.263337116912599
47141,"Putnam County, Tennessee",80157,71995,8162,10.182516810758885
47143,"Rhea County, Tennessee",33031,29883,3148,9.530441100784111
47145,"Roane County, Tennessee",53777,49424,4353,8.09453855737583
47147,"Robertson County, Tennessee",73297,61202,12095,16.501357490756785
47149,"Rutherford County, Tennessee",343727,244580,99147,28.84469360859054
47151,"Scott County, Tennessee",21917,21243,674,3.075238399415978
47153,"Sequatchie County, Tennessee",16065,15155,910,5.664488017429194
47155,"Sevier County, Tennessee",98455,89260,9195,9.339292062363516
47157,"Shelby County, Tennessee",926440,339650,586790,63.3381546565347
47159,"Smith County, Tennessee",20034,18259,1775,8.859938105221124
47161,"Stewart County, Tennessee",13724,12689,1035,7.541533080734479
47163,"Sullivan County, Tennessee",158722,147979,10743,6.768437897707942
47165,"Sumner County, Tennessee",196845,162426,34419,17.485331098072088
47167,"Tipton County, Tennessee",61116,46532,14584,23.86281824726749
47169,"Trousdale County, Tennessee",11596,9524,2072,17.86823042428424
47171,"Unicoi County, Tennessee",17845,16788,1057,5.923227794900533
47173,"Union County, Tennessee",19860,18994,866,4.360523665659617
47175,"Van Buren County, Tennessee",6182,5882,300,4.852798447104497
47177,"Warren County, Tennessee",41163,35577,5586,13.570439472341667
47179,"Washington County, Tennessee",133282,118530,14752,11.068261280593028
47181,"Wayne County, Tennessee",16325,14645,1680,10.290964777947933
47183,"Weakley County, Tennessee",32946,28807,4139,12.562981849086382
47185,"White County, Tennessee",27420,25788,1632,5.951859956236324
47187,"Williamson County, Tennessee",248897,210242,38655,15.530520657139299
47189,"Wilson County, Tennessee",149096,124995,24101,16.164752910876214
37001,"Alamance County, North Carolina",171779,112619,59160,34.439599718242626
37003,"Alexander County, North Carolina",36505,32093,4412,12.086015614299411
37005,"Alleghany County, North Carolina",10989,10270,719,6.542906542906543
37007,"Anson County, North Carolina",22200,10218,11982,53.972972972972975
37009,"Ashe County, North Carolina",26759,25585,1174,4.387308942785604
37011,"Avery County, North Carolina",17679,15773,1906,10.781152780134622
37013,"Beaufort County, North Carolina",44711,31510,13201,29.525172776274296
37015,"Bertie County, North Carolina",17818,6188,11630,65.27107419463464
37017,"Bladen County, North Carolina",29807,16874,12933,43.38913677995102
37019,"Brunswick County, North Carolina",139721,116031,23690,16.95521789852635
37021,"Buncombe County, North Carolina",269449,229554,39895,14.806141421938845
37023,"Burke County, North Carolina",87799,72967,14832,16.893130901263113
37025,"Cabarrus County, North Carolina",226396,146679,79717,35.21131115390732
37027,"Caldwell County, North Carolina",80716,70428,10288,12.745923980375636
37029,"Camden County, North Carolina",10547,8558,1989,18.858443159192188
37031,"Carteret County, North Carolina",68353,60190,8163,11.942416572791245
37033,"Caswell County, North Carolina",22747,13719,9028,39.688750164856906
37035,"Catawba County, North Carolina",161011,124060,36951,22.949363708069633
37037,"Chatham County, North Carolina",76754,57509,19245,25.073611798733612
37039,"Cherokee County, North Carolina",28868,26502,2366,8.19592628516004
37041,"Chowan County, North Carolina",13835,8358,5477,39.58800144560896
37043,"Clay County, North Carolina",11186,10571,615,5.497943858394422
37045,"Cleveland County, North Carolina",99527,72559,26968,27.096164859786793
37047,"Columbus County, North Carolina",50827,30854,19973,39.296043441477956
37049,"Craven County, North Carolina",101098,69166,31932,31.585194563690678
37051,"Cumberland County, North Carolina",335207,151226,183981,54.88578699132178
37053,"Currituck County, North Carolina",28616,24837,3779,13.205898797875316
37055,"Dare County, North Carolina",37160,32650,4510,12.136706135629709
37057,"Davidson County, North Carolina",169498,137816,31682,18.691665978359627
37059,"Davie County, North Carolina",43030,36814,6216,14.445735533348827
37061,"Duplin County, North Carolina",49312,30070,19242,39.020927968851396
37063,"Durham County, North Carolina",325101,154835,170266,52.37326246304994
37065,"Edgecombe County, North Carolina",49067,18815,30252,61.65447245602951
37067,"Forsyth County, North Carolina",383739,231971,151768,39.549798170110414
37069,"Franklin County, North Carolina",69680,44934,24746,35.51377726750861
37071,"Gaston County, North Carolina",228972,166431,62541,27.31382003039673
37073,"Gates County, North Carolina",10509,6637,3872,36.8446093824341
37075,"Graham County, North Carolina",8047,6898,1149,14.278613147756927
37077,"Granville County, North Carolina",61161,35983,25178,41.16675659325387
37079,"Greene County, North Carolina",20407,10428,9979,48.89988729357573
37081,"Guilford County, North Carolina",539557,275155,264402,49.00353438098291
37083,"Halifax County, North Carolina",48772,18584,30188,61.896169933568444
37085,"Harnett County, North Carolina",134718,87411,47307,35.11557475615731
37087,"Haywood County, North Carolina",62152,57454,4698,7.558887887759043
37089,"Henderson County, North Carolina",116469,101264,15205,13.05497600219801
37091,"Hertford County, North Carolina",21633,7343,14290,66.05648777330929
37093,"Hoke County, North Carolina",52612,22292,30320,57.62943815099217
37095,"Hyde County, North Carolina",4636,2722,1914,41.2855910267472
37097,"Iredell County, North Carolina",187839,145120,42719,22.742348500577624
37099,"Jackson County, North Carolina",42388,34309,8079,19.059639520619044
37101,"Johnston County, North Carolina",219042,152984,66058,30.157686653701116
37103,"Jones County, North Carolina",9263,5764,3499,37.77393932851128
37105,"Lee County, North Carolina",63560,43650,19910,31.32473253618628
37107,"Lenoir County, North Carolina",55071,28400,26671,48.4302082765884
37109,"Lincoln County, North Carolina",87933,75764,12169,13.838945560824719
37111,"McDowell County, North Carolina",44629,39732,4897,10.972685921710099
37113,"Macon County, North Carolina",37088,33707,3381,9.116156169111303
37115,"Madison County, North Carolina",21414,19996,1418,6.62183618193705
37117,"Martin County, North Carolina",21992,11503,10489,47.69461622408148
37119,"Mecklenburg County, North Carolina",1115403,539668,575735,51.61676990289609
37121,"Mitchell County, North Carolina",14989,13980,1009,6.731603175662153
37123,"Montgomery County, North Carolina",25839,17424,8415,32.56704980842912
37125,"Moore County, North Carolina",100759,79661,21098,20.93907244017904
37127,"Nash County, North Carolina",95015,47001,48014,50.533073725201284
37129,"New Hanover County, North Carolina",228134,180420,47714,20.914900891581265
37131,"Northampton County, North Carolina",17528,7087,10441,59.567549064354175
37133,"Onslow County, North Carolina",203686,143660,60026,29.469870290545252
37135,"Orange County, North Carolina",145919,105171,40748,27.925081723421897
37137,"Pamlico County, North Carolina",12317,9330,2987,24.251035154664287
37139,"Pasquotank County, North Carolina",40454,22871,17583,43.46418153952637
37141,"Pender County, North Carolina",61592,46696,14896,24.18495908559553
37143,"Perquimans County, North Carolina",13053,9371,3682,28.208074772083048
37145,"Person County, North Carolina",39131,26043,13088,33.44662799315121
37147,"Pitt County, North Carolina",171196,93580,77616,45.337507885698265
37149,"Polk County, North Carolina",19538,17351,2187,11.193571501689016
37151,"Randolph County, North Carolina",144403,118493,25910,17.942840522703822
37153,"Richmond County, North Carolina",43149,24952,18197,42.172472131451485
37155,"Robeson County, North Carolina",117573,30143,87430,74.36231107482159
37157,"Rockingham County, North Carolina",91209,66592,24617,26.989661108004693
37159,"Rowan County, North Carolina",147067,108005,39062,26.56068322601263
37161,"Rutherford County, North Carolina",64680,54235,10445,16.14873222016079
37163,"Sampson County, North Carolina",59317,33200,26117,44.029536220645014
37165,"Scotland County, North Carolina",34222,14265,19957,58.31628776810239
37167,"Stanly County, North Carolina",62723,51085,11638,18.55459719720039
37169,"Stokes County, North Carolina",44696,40946,3750,8.390012529085377
37171,"Surry County, North Carolina",71429,62836,8593,12.030127819233085
37173,"Swain County, North Carolina",14130,8786,5344,37.82024062278839
37175,"Transylvania County, North Carolina",33131,29993,3138,9.471491956173976
37177,"Tyrrell County, North Carolina",3389,1999,1390,41.015048686928296
37179,"Union County, North Carolina",240109,178008,62101,25.863670249761565
37181,"Vance County, North Carolina",42492,17378,25114,59.102889955756375
37183,"Wake County, North Carolina",1132103,692488,439615,38.83171407548606
37185,"Warren County, North Carolina",18803,7224,11579,61.58059884061055
37187,"Washington County, North Carolina",11051,5060,5991,54.212288480680485
37189,"Watauga County, North Carolina",54540,50349,4191,7.684268426842684
37191,"Wayne County, North Carolina",117480,67475,50005,42.56469186244467
37193,"Wilkes County, North Carolina",66125,58549,7576,11.457088846880907
37195,"Wilson County, North Carolina",78667,36875,41792,53.12519862203974
37197,"Yadkin County, North Carolina",37280,32621,4659,12.497317596566523
37199,"Yancey County, North Carolina",18538,17253,1285,6.931707843348797
45001,"Abbeville County, South Carolina",24368,16915,7453,30.58519369665135
45003,"Aiken County, South Carolina",169865,114221,55644,32.75777823565773
45005,"Allendale County, South Carolina",8073,1834,6239,77.28229902142945
45007,"Anderson County, South Carolina",204592,159828,44764,21.87964338781575
45009,"Bamberg County, South Carolina",13311,4971,8340,62.654947036285776
45011,"Barnwell County, South Carolina",20653,10652,10001,48.42395777853096
45013,"Beaufort County, South Carolina",189071,134379,54692,28.92669949384094
45015,"Berkeley County, South Carolina",231419,148806,82613,35.69845172608991
45017,"Calhoun County, South Carolina",14145,7890,6255,44.22057264050901
45019,"Charleston County, South Carolina",409840,274328,135512,33.064610579738435
45021,"Cherokee County, South Carolina",56200,40494,15706,27.946619217081853
45023,"Chester County, South Carolina",32171,19146,13025,40.48677380249293
45025,"Chesterfield County, South Carolina",43536,26955,16581,38.08572216097023
45027,"Clarendon County, South Carolina",31163,15470,15693,50.35779610435453
45029,"Colleton County, South Carolina",38561,22245,16316,42.31218070070797
45031,"Darlington County, South Carolina",63025,34609,28416,45.086870289567635
45033,"Dillon County, South Carolina",28255,12929,15326,54.24172712794195
45035,"Dorchester County, South Carolina",162139,104519,57620,35.537409259955965
45037,"Edgefield County, South Carolina",26181,15775,10406,39.746380963293994
45039,"Fairfield County, South Carolina",20942,8088,12854,61.379046891414376
45041,"Florence County, South Carolina",137015,70072,66943,48.8581542166916
45043,"Georgetown County, South Carolina",63594,41926,21668,34.0723967669906
45045,"Greenville County, South Carolina",528251,368154,160097,30.3069942129783
45047,"Greenwood County, South Carolina",69309,43025,26284,37.92292487267166
45049,"Hampton County, South Carolina",18890,7591,11299,59.8147167813658
45051,"Horry County, South Carolina",356578,282022,74556,20.90874927785786
45053,"Jasper County, South Carolina",29444,14314,15130,51.38568129330254
45055,"Kershaw County, South Carolina",65779,45165,20614,31.338269052433148
45057,"Lancaster County, South Carolina",97611,70124,27487,28.15973609531713
45059,"Laurens County, South Carolina",67456,46271,21185,31.40565702087287
45061,"Lee County, South Carolina",16557,5569,10988,66.36467959171347
45063,"Lexington County, South Carolina",295934,222068,73866,24.96029520095697
45065,"McCormick County, South Carolina",9612,5071,4541,47.24302954640034
45067,"Marion County, South Carolina",29212,11164,18048,61.782828974394086
45069,"Marlboro County, South Carolina",26585,10416,16169,60.82001128455896
45071,"Newberry County, South Carolina",37918,23411,14507,38.25887441320745
45073,"Oconee County, South Carolina",78775,67134,11641,14.777530942557918
45075,"Orangeburg County, South Carolina",84159,29059,55100,65.47131025796409
45077,"Pickens County, South Carolina",131106,113243,17863,13.624853172242307
45079,"Richland County, South Carolina",416161,176478,239683,57.59381585492154
45081,"Saluda County, South Carolina",18952,11535,7417,39.135711270578305
45083,"Spartanburg County, South Carolina",330119,228719,101400,30.71619628073513
45085,"Sumter County, South Carolina",105199,47752,57447,54.607933535489884
45087,"Union County, South Carolina",27158,17688,9470,34.87001988364386
45089,"Williamsburg County, South Carolina",30879,9893,20986,67.9620454030247
45091,"York County, South Carolina",282987,200943,82044,28.99214451547244
13001,"Appling County, Georgia",18441,13032,5409,29.331381161542215
13003,"Atkinson County, Georgia",8265,5517,2748,33.2486388384755
13005,"Bacon County, Georgia",11138,8229,2909,26.117794936254263
13007,"Baker County, Georgia",2878,1505,1373,47.70674079221682
13009,"Baldwin County, Georgia",43778,23141,20637,47.140116040020104
13011,"Banks County, Georgia",18381,16063,2318,12.61084815842446
13013,"Barrow County, Georgia",84399,60747,23652,28.02402872071944
13015,"Bartow County, Georgia",109410,87427,21983,20.092313316881455
13017,"Ben Hill County, Georgia",17169,9917,7252,42.23891898188596
13019,"Berrien County, Georgia",18187,14934,3253,17.886402375323033
13021,"Bibb County, Georgia",156554,58258,98296,62.78728106595807
13023,"Bleckley County, Georgia",12413,8731,3682,29.662450656569728
13025,"Brantley County, Georgia",18105,16805,1300,7.1803369235017955
13027,"Brooks County, Georgia",16275,9273,7002,43.02304147465438
13029,"Bryan County, Georgia",44995,32658,12337,27.41860206689632
13031,"Bulloch County, Georgia",79829,50820,29009,36.338924451014044
13033,"Burke County, Georgia",24337,12127,12210,50.170522250071905
13035,"Butts County, Georgia",25522,16962,8560,33.5396912467675
13037,"Calhoun County, Georgia",5594,1856,3738,66.821594565606
13039,"Camden County, Georgia",55105,39021,16084,29.18791398239724
13043,"Candler County, Georgia",10946,6825,4121,37.648456057007124
13045,"Carroll County, Georgia",120060,85441,34619,28.834749292020657
13047,"Catoosa County, Georgia",68052,61163,6889,10.123141127373184
13049,"Charlton County, Georgia",12547,7897,4650,37.06065194867299
13051,"Chatham County, Georgia",296266,145541,150725,50.874889457447026
13053,"Chattahoochee County, Georgia",9402,5700,3702,39.37460114869177
13055,"Chattooga County, Georgia",24902,20650,4252,17.074933740261827
13057,"Cherokee County, Georgia",268567,216897,51670,19.239147028488233
13059,"Clarke County, Georgia",128864,76090,52774,40.953253041966725
13061,"Clay County, Georgia",2855,1050,1805,63.22241681260946
13063,"Clayton County, Georgia",296312,37502,258810,87.34374578147359
13065,"Clinch County, Georgia",6713,4383,2330,34.70877402055713
13067,"Cobb County, Georgia",765813,404625,361188,47.163994343266566
13069,"Coffee County, Georgia",43056,26766,16290,37.83444816053512
13071,"Colquitt County, Georgia",45813,27866,17947,39.17447012856613
13073,"Columbia County, Georgia",156921,108715,48206,30.719916391050273
13075,"Cook County, Georgia",17242,11068,6174,35.80791091520705
13077,"Coweta County, Georgia",147449,107301,40148,27.2283976154467
13079,"Crawford County, Georgia",12156,8916,3240,26.653504442250743
13081,"Crisp County, Georgia",20255,10396,9859,48.67440138237472
13083,"Dade County, Georgia",16239,15240,999,6.1518566414188065
13085,"Dawson County, Georgia",27355,24956,2399,8.769877536099434
13087,"Decatur County, Georgia",29063,15237,13826,47.57251488146441
13089,"DeKalb County, Georgia",761209,242659,518550,68.12189556350489
13091,"Dodge County, Georgia",19977,13361,6616,33.11808579866847
13093,"Dooly County, Georgia",11236,4895,6341,56.43467426130295
13095,"Dougherty County, Georgia",85038,20720,64318,75.63442225828453
13097,"Douglas County, Georgia",144735,56989,87746,60.625280685390535
13099,"Early County, Georgia",10753,4718,6035,56.12387240770018
13101,"Echols County, Georgia",3707,2444,1263,34.07067709738333
13103,"Effingham County, Georgia",65314,50603,14711,22.523501852589032
13105,"Elbert County, Georgia",19570,12965,6605,33.75063873275422
13107,"Emanuel County, Georgia",22907,13861,9046,39.4901121927795
13109,"Evans County, Georgia",10759,6059,4700,43.68435728227531
13111,"Fannin County, Georgia",25436,23947,1489,5.853907847145778
13113,"Fayette County, Georgia",119259,73107,46152,38.69896611576485
13115,"Floyd County, Georgia",98541,73157,25384,25.759836007347197
13117,"Forsyth County, Georgia",253225,176237,76988,30.403001283443576
13119,"Franklin County, Georgia",23480,19492,3988,16.984667802385008
13121,"Fulton County, Georgia",1061944,435440,626504,58.995954588942546
13123,"Gilmer County, Georgia",31519,28345,3174,10.070116437704241
13125,"Glascock County, Georgia",2903,2565,338,11.643127798828798
13127,"Glynn County, Georgia",84566,56354,28212,33.36092519452262
13129,"Gordon County, Georgia",57785,46997,10788,18.669204810937096
13131,"Grady County, Georgia",26075,16397,9678,37.11601150527325
13133,"Greene County, Georgia",19020,11363,7657,40.25762355415352
13135,"Gwinnett County, Georgia",957977,377684,580293,60.574836347845505
13137,"Habersham County, Georgia",46326,37529,8797,18.98933644173898
13139,"Hall County, Georgia",204953,147504,57449,28.030328904675706
13141,"Hancock County, Georgia",8588,2178,6410,74.63903120633442
13143,"Haralson County, Georgia",30178,27517,2661,8.817681754920804
13145,"Harris County, Georgia",34914,27027,7887,22.589792060491494
13147,"Hart County, Georgia",26110,19695,6415,24.569130601302184
13149,"Heard County, Georgia",11489,9861,1628,14.170075724606146
13151,"Henry County, Georgia",240853,95873,144980,60.19439243023753
13153,"Houston County, Georgia",164117,92377,71740,43.712717146913484
13155,"Irwin County, Georgia",9487,6550,2937,30.958153262359016
13157,"Jackson County, Georgia",77033,63289,13744,17.841704204691496
13159,"Jasper County, Georgia",14882,11227,3655,24.55987098508265
13161,"Jeff Davis County, Georgia",14791,10535,4256,28.774254614292477
13163,"Jefferson County, Georgia",15591,6737,8854,56.78917324097236
13165,"Jenkins County, Georgia",8704,4985,3719,42.72748161764706
13167,"Johnson County, Georgia",9225,5737,3488,37.81029810298103
13169,"Jones County, Georgia",28382,20237,8145,28.69776618983863
13171,"Lamar County, Georgia",18676,12523,6153,32.94602698650675
13173,"Lanier County, Georgia",9964,6753,3211,32.226013649136895
13175,"Laurens County, Georgia",49407,28879,20528,41.54876839314267
13177,"Lee County, Georgia",32968,22816,10152,30.79349672409609
13179,"Liberty County, Georgia",65550,26965,38585,58.86346300533943
13181,"Lincoln County, Georgia",7726,5302,2424,31.374579342479937
13183,"Long County, Georgia",16804,9781,7023,41.79362056653178
13185,"Lowndes County, Georgia",118257,63660,54597,46.168091529465485
13187,"Lumpkin County, Georgia",33405,30782,2623,7.852117946415207
13189,"McDuffie County, Georgia",21715,11864,9851,45.36495510016118
13191,"McIntosh County, Georgia",11183,7064,4119,36.83269247965662
13193,"Macon County, Georgia",12099,4115,7984,65.98892470452104
13195,"Madison County, Georgia",30378,24924,5454,17.953782342484693
13197,"Marion County, Georgia",7508,4474,3034,40.41022908897176
13199,"Meriwether County, Georgia",20679,11922,8757,42.34730886406499
13201,"Miller County, Georgia",5923,3927,1996,33.6991389498565
13205,"Mitchell County, Georgia",21634,10384,11250,52.0014791531848
13207,"Monroe County, Georgia",28287,20847,7440,26.301834765086436
13209,"Montgomery County, Georgia",8687,5858,2829,32.56590307355819
13211,"Morgan County, Georgia",20171,14703,5468,27.108224678994596
13213,"Murray County, Georgia",40063,37135,2928,7.308489129620847
13215,"Muscogee County, Georgia",204572,83003,121569,59.42602115636548
13217,"Newton County, Georgia",113298,50829,62469,55.136895620399294
13219,"Oconee County, Georgia",41978,35586,6392,15.22702367906999
13221,"Oglethorpe County, Georgia",14974,11630,3344,22.332042206491252
13223,"Paulding County, Georgia",169898,116984,52914,31.144569094397816
13225,"Peach County, Georgia",28054,13791,14263,50.841234761531325
13227,"Pickens County, Georgia",33439,31468,1971,5.894315021382218
13229,"Pierce County, Georgia",19822,16954,2868,14.46877207143578
13231,"Pike County, Georgia",19145,16737,2408,12.577696526508229
13233,"Polk County, Georgia",43019,33052,9967,23.168832376391826
13235,"Pulaski County, Georgia",9887,5727,4160,42.07545261454435
13237,"Putnam County, Georgia",22206,15134,7072,31.847248491398723
13239,"Quitman County, Georgia",2180,953,1227,56.28440366972477
13241,"Rabun County, Georgia",16915,15171,1744,10.310375406443985
13243,"Randolph County, Georgia",6365,1960,4405,69.2065985860173
13245,"Richmond County, Georgia",206153,71015,135138,65.55228398325515
13247,"Rockdale County, Georgia",93641,30027,63614,67.93391783513631
13249,"Schley County, Georgia",4565,3492,1073,23.504928806133627
13251,"Screven County, Georgia",14026,7938,6088,43.405104805361475
13253,"Seminole County, Georgia",9117,5813,3304,36.23999122518372
13255,"Spalding County, Georgia",67415,39829,27586,40.91967662983016
13257,"Stephens County, Georgia",26732,21858,4874,18.23282956755948
13259,"Stewart County, Georgia",5121,1231,3890,75.96172622534661
13261,"Sumter County, Georgia",29378,12285,17093,58.182994077200625
13263,"Talbot County, Georgia",5793,2373,3420,59.03676851372346
13265,"Taliaferro County, Georgia",1635,599,1036,63.36391437308868
13267,"Tattnall County, Georgia",24309,13808,10501,43.19799251306101
13269,"Taylor County, Georgia",7799,4542,3257,41.7617643287601
13271,"Telfair County, Georgia",12619,6462,6157,48.791504873603294
13273,"Terrell County, Georgia",9004,3260,5744,63.793869391381605
13275,"Thomas County, Georgia",45665,26962,18703,40.95696923245374
13277,"Tift County, Georgia",41247,24067,17180,41.65151404950663
13279,"Toombs County, Georgia",26946,17345,9601,35.63052029985897
13281,"Towns County, Georgia",12546,11799,747,5.954088952654232
13283,"Treutlen County, Georgia",6411,4264,2147,33.48931523943223
13285,"Troup County, Georgia",69527,39707,29820,42.88981259079206
13287,"Turner County, Georgia",8894,5129,3765,42.331909152237465
13289,"Twiggs County, Georgia",7955,4452,3503,44.035197988686356
13291,"Union County, Georgia",24880,23257,1623,6.52331189710611
13293,"Upson County, Georgia",27638,18652,8986,32.51320645488096
13295,"Walker County, Georgia",68065,62089,5976,8.779842797326086
13297,"Walton County, Georgia",97752,72371,25381,25.964686144529015
13299,"Ware County, Georgia",35917,22600,13317,37.077150096054794
13301,"Warren County, Georgia",5197,1995,3202,61.612468731960746
13303,"Washington County, Georgia",19975,8602,11373,56.93617021276596
13305,"Wayne County, Georgia",30277,21946,8331,27.51593618918651
13307,"Webster County, Georgia",2354,977,1377,58.49617672047579
13309,"Wheeler County, Georgia",7550,4412,3138,41.56291390728477
13311,"White County, Georgia",28165,25727,2438,8.65613349902361
13313,"Whitfield County, Georgia",103033,79165,23868,23.16539361175546
13315,"Wilcox County, Georgia",8839,5555,3284,37.153524154316095
13317,"Wilkes County, Georgia",9610,5126,4484,46.659729448491156
13319,"Wilkinson County, Georgia",8852,5096,3756,42.43108901943064
13321,"Worth County, Georgia",20706,14070,6636,32.048681541582155
